

		 PHASE 1: LEXICAL ANALYSIS 


VALUE					TOKEN_TYPE   	LINE NUMBER
_________________________________________________________________________

.ORIG            		directive		 1		
X3000            		   value		 1		
LEA              		  opcode		 2		
R1               		register		 2		
ONE              		   label		 2		
LEA              		  opcode		 3		
R2               		register		 3		
TWO              		   label		 3		
JSR              		  opcode		 4		
COMPAR           		   label		 4		
FINE             		   label		 5		
BRNZP            		    jump		 5		
FINE             		   label		 5		
ONE              		   label		 6		
.FILL            		directive		 6		
34               		   value		 6		
TWO              		   label		 7		
.FILL            		directive		 7		
3                		   value		 7		
COMPAR           		   label		 8		
LDR              		  opcode		 8		
R1               		register		 8		
R1               		register		 8		
#0               		   value		 8		
LDR              		  opcode		 9		
R2               		register		 9		
R2               		register		 9		
#0               		   value		 9		
NOT              		  opcode		10		
R0               		register		10		
R1               		register		10		
ADD              		  opcode		11		
R0               		register		11		
R0               		register		11		
#1               		   value		11		
ADD              		  opcode		12		
R0               		register		12		
R0               		register		12		
R2               		register		12		
BRN              		    jump		13		
PLUS             		   label		13		
BRP              		    jump		14		
NEG              		   label		14		
RET              		  opcode		15		
NEG              		   label		16		
AND              		  opcode		16		
R0               		register		16		
R0               		register		16		
#0               		   value		16		
ADD              		  opcode		17		
R0               		register		17		
R0               		register		17		
#-1              		   value		17		
BRNZP            		    jump		18		
FINE             		   label		18		
PLUS             		   label		19		
AND              		  opcode		19		
R0               		register		19		
R0               		register		19		
#0               		   value		19		
ADD              		  opcode		20		
R0               		register		20		
R0               		register		20		
#1               		   value		20		
BRNZP            		    jump		21		
FINE             		   label		21		
.END             		directive		22		


